Token,Tag,Image
This,DT,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
is,VBZ,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
what,WP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
you,PRP,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
'll,MD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
need,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
:,:,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
-,:,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
4,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
oz,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
(,(,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
half,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
a,DT,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
bag,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
),),/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
Soy,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
Curls,NNS,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
(,(,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
textured,VBN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
soy,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
protein,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
),),/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
*,SYM,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
-,:,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2-Jan,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
garlic,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
powder-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
2-Jan,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
chili,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
powder-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
1,CD,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
tsp,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
black,JJ,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
pepper-,NN,/scratch/baj321/RecipeQA/images/images-qa/test/images-qa/vegan-jerky_1_3.jpg
